Número,Fecha de entrega,Fecha de cierre,Prioridad,Estado,Título,Cerrado por,Nombre de Aplicación,Categoría del sitio,Bdo Tipo de Solicitud,Tipo solici,Tipo de Solicitud
"RF648796","02/01/25 08:29:35","02/01/25 13:57:21","4 - Baja","Cerrado","desbloqueo iron","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF648939","02/01/25 09:49:59","16/01/25 09:31:50","4 - Baja","Cerrado","DESBLOQUEAR USUARIO POR INACTIVIDAD","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF648993","02/01/25 10:35:15","02/01/25 14:03:09","4 - Baja","Cerrado","SOLICITUD DE CREACIÓN DE USUARIO Y CONTRASEÑA EN APLICATIVO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","D","","",""
"RF648998","02/01/25 10:38:44","02/01/25 13:19:26","4 - Baja","Cerrado","Desbloqueo Usuario Alfyn","MRODRIGUEZPE","ALFYN","A","","",""
"RF649037","02/01/25 11:02:53","03/01/25 14:13:51","4 - Baja","Cerrado","IRON MOUTAIN / Tipo de Novedad (creación)","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","D","","",""
"RF649040","02/01/25 11:04:21","02/01/25 13:56:13","4 - Baja","Cerrado","HABILITAR USUARIO POR REGRESO DE VACACIONES","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF649063","02/01/25 11:23:13","07/01/25 10:12:10","4 - Baja","Cerrado","DESBLOQUEO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF649096","02/01/25 11:50:58","02/01/25 13:29:22","4 - Baja","Cerrado","MODIFICAR USUARIO DECEVAL","MRODRIGUEZPE","DECEVAL","A","","",""
"RF649125","02/01/25 12:31:51","02/01/25 14:53:29","4 - Baja","Cerrado","DESBLOQUEAR USUARIO DECEVAL","MRODRIGUEZPE","DECEVAL","A","","",""
"RF649283","02/01/25 15:53:50","07/01/25 15:39:52","4 - Baja","Cerrado","DOCIT - Modificación de perfil","MRODRIGUEZPE","ALFYN","A","","",""
"RF649521","03/01/25 09:28:21","03/01/25 14:15:35","4 - Baja","Cerrado","APLICATIVO IRON/TIPO DE NOVEDAD (CREACION) ELIZABETH MENDOZA TORRES","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF649544","03/01/25 09:47:40","07/01/25 10:15:49","4 - Baja","Cerrado","Se solicita desbloqueo usuario","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF649577","03/01/25 10:03:55","03/01/25 14:17:08","4 - Baja","Cerrado","Desbloqueo cuenta usuario IRON MOUNTAIN - BOR1001096255","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF649598","03/01/25 10:21:43","08/01/25 14:19:48","4 - Baja","Cerrado","KPMG- Creación usuario IRONMOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF649782","03/01/25 13:36:20","08/01/25 14:23:22","4 - Baja","Cerrado","DESBLOQUEAR USUARIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF649864","03/01/25 15:16:03","07/01/25 10:17:35","4 - Baja","Cerrado","desbloqueo de usuario iron","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF650104","07/01/25 08:03:47","07/01/25 10:18:56","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF650193","07/01/25 09:07:20","08/01/25 14:25:04","4 - Baja","Cerrado","ACTIVACION DE USUARIO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF650212","07/01/25 09:21:02","14/01/25 09:08:22","4 - Baja","Cerrado","CREACION DE USUARIO IRON MONTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
