Número,Fecha de entrega,Fecha de cierre,Prioridad,Estado,Título,Cerrado por,Nombre de Aplicación,Categoría del sitio,Bdo Tipo de Solicitud,Tipo solici,Tipo de Solicitud
"RF650235","07/01/25 09:33:03","09/01/25 15:00:23","4 - Baja","Cerrado","Desbloqueo IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","D","","",""
"RF650272","07/01/25 10:01:16","08/01/25 14:15:46","4 - Baja","Cerrado","USUARIO BLOQUEDAO POR INACTIVIDAD","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF650306","07/01/25 10:42:17","07/01/25 15:58:10","4 - Baja","Cerrado","creacion usuario seriva divisas-renta fija","MRODRIGUEZPE","SERIVA","A","","",""
"RF650311","07/01/25 10:45:36","10/01/25 15:44:10","4 - Baja","Cerrado","CREACION USUARIO SERIVA RENTA FIJA","MRODRIGUEZPE","SERIVA RENTA FIJA","A","","",""
"RF650352","07/01/25 11:26:22","08/01/25 14:26:10","4 - Baja","Cerrado","DESBLOQUEO USUARIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF650533","07/01/25 14:55:36","08/01/25 14:28:07","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION DE NUEVA CLAVE  IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF650669","07/01/25 16:38:06","17/01/25 13:39:06","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - Mayra Alejandra Ruiz Suarez","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF650699","07/01/25 17:01:27","09/01/25 15:02:10","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - BOR1000728714","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF650874","08/01/25 09:39:54","10/01/25 15:42:48","4 - Baja","Cerrado","CREACION  USUARIO SERIVA DIVISAS","MRODRIGUEZPE","SERIVA","A","","",""
"RF650876","08/01/25 09:41:16","10/01/25 15:33:36","4 - Baja","Cerrado","CREACION USUARIO SERIVA RENTA FIJA","MRODRIGUEZPE","SERIVA RENTA FIJA","A","","",""
"RF650919","08/01/25 10:06:31","16/01/25 12:19:04","4 - Baja","Cerrado","DOCIT - CREACION DE PERFIL","MRODRIGUEZPE","ALFYN","A","","",""
"RF650923","08/01/25 10:07:51","15/01/25 10:46:17","4 - Baja","Cerrado","DOCIT - CREACION DE PERFIL","MRODRIGUEZPE","DECEVAL","A","","",""
"RF650933","08/01/25 10:12:39","16/01/25 11:52:36","4 - Baja","Cerrado","DOCIT - CREACION DE PERFIL","MRODRIGUEZPE","SERIVA","A","","",""
"RF650939","08/01/25 10:15:12","15/01/25 10:44:10","4 - Baja","Cerrado","DOCIT - CREACION DE PERFIL","MRODRIGUEZPE","CLEARSTREAM","A","","",""
"RF650979","08/01/25 10:42:07","08/01/25 14:38:15","4 - Baja","Cerrado","desbloqueo usuario","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF651056","08/01/25 11:55:58","08/01/25 14:42:15","4 - Baja","Cerrado","SOLICITUD DESBLOQUEO APLICATIVO IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF651122","08/01/25 14:13:32","09/01/25 15:03:41","4 - Baja","Cerrado","Desbloqueo y asignación de clave - usuario bloqueado por inactividad","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF651152","08/01/25 14:41:33","14/01/25 09:29:55","4 - Baja","Cerrado","DESBLOQUEAR USUARIO IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF651155","08/01/25 14:43:55","09/01/25 15:04:45","4 - Baja","Cerrado","ASIGNACION DE CLAVE","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF651191","08/01/25 15:10:59","13/01/25 15:31:13","4 - Baja","Cerrado","Desbloqueo Aplicativo IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","D","","",""
"RF651239","08/01/25 16:12:46","14/01/25 09:10:43","4 - Baja","Cerrado","CREACION DE USUARIO IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF651364","09/01/25 08:05:54","09/01/25 15:06:51","4 - Baja","Cerrado","SOLICITUD DESBLOQUEO-CAMBIO DE CLAVE IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF651424","09/01/25 08:55:29","10/01/25 14:25:51","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION DE CLAVE","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF651437","09/01/25 09:04:31","10/01/25 14:48:35","4 - Baja","Cerrado","CREACION USUAIO IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF651855","09/01/25 15:26:47","10/01/25 14:29:47","4 - Baja","Cerrado","DESBLOQUEO CUENTA ACCESO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF652095","10/01/25 11:01:53","10/01/25 14:31:43","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN -JRODRIGUEZPE","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652150","10/01/25 11:33:40","10/01/25 14:33:35","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - BOR41946056","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF652155","10/01/25 11:37:10","10/01/25 14:34:59","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN BOC1001326356","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF652169","10/01/25 11:43:42","10/01/25 14:46:42","4 - Baja","Cerrado","Creacion usuario iron mountain","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF652187","10/01/25 11:49:01","10/01/25 14:37:58","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - Nombre de usuario","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF652189","10/01/25 11:50:13","10/01/25 14:40:41","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - Nombre de usuario ilromero","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652190","10/01/25 11:50:16","10/01/25 14:42:42","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF652266","10/01/25 13:05:41","17/01/25 15:44:24","4 - Baja","Cerrado","Agradezco desbloquear usuario IRON BOR1005336585","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652348","10/01/25 14:52:08","13/01/25 16:01:21","4 - Baja","Cerrado","Desbloqueo Iron","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","D","","",""
"RF652472","10/01/25 16:19:13","17/01/25 16:48:05","4 - Baja","Cerrado","Creación y activación de usuarios en koncilia producción","MRODRIGUEZPE","KONCILIA","A","","",""
"RF652477","10/01/25 16:20:29","15/01/25 10:26:53","4 - Baja","Cerrado","DESBLOQUEO CON ASIGNACION DE NUEVA CLAVE IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652492","10/01/25 16:31:49","13/01/25 16:07:51","4 - Baja","Cerrado","IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF652509","10/01/25 16:49:11","17/01/25 11:37:10","4 - Baja","Cerrado","DESBLOQUEAR USUARIO IROM MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652580","11/01/25 09:34:32","13/01/25 16:09:34","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION CLAVE AIRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF652660","13/01/25 08:37:54","15/01/25 09:45:13","4 - Baja","Cerrado","SOLICITUD DESBLOQUEO Y CONTRASEÑA","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652661","13/01/25 08:37:57","15/01/25 11:31:33","4 - Baja","Cerrado","SOLICITUD IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","D","","",""
"RF652679","13/01/25 08:51:31","16/01/25 17:03:18","4 - Baja","Cerrado","CREACION USUARIO SERIVA RENTA FIJA","MRODRIGUEZPE","SERIVA RENTA FIJA","A","","",""
"RF652681","13/01/25 08:53:51","17/01/25 16:28:45","4 - Baja","Cerrado","CREACION USUARIO SERIVA DIVISAS","MRODRIGUEZPE","SERIVA","A","","",""
"RF652707","13/01/25 09:06:56","14/01/25 09:32:14","4 - Baja","Cerrado","Solicitud desbloqueo usuario - Iron Mountain","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652712","13/01/25 09:10:13","13/01/25 16:12:30","4 - Baja","Cerrado","CREACION USUARIO/IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652810","13/01/25 10:30:49","14/01/25 09:13:46","4 - Baja","Cerrado","DESBLOQUEAR USUARIO Y CLAVE","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652827","13/01/25 10:49:38","14/01/25 09:48:07","4 - Baja","Cerrado","ASIGNACION CLAVE USUARIO DOCUMENTA WEB","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652836","13/01/25 11:01:05","14/01/25 09:16:47","4 - Baja","Cerrado","DESBLOQUEO USUARIO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652855","13/01/25 11:15:58","13/01/25 16:14:58","4 - Baja","Cerrado","Desbloqueo IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652867","13/01/25 11:24:07","13/01/25 16:16:45","4 - Baja","Cerrado","Desbloqueo IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652989","13/01/25 14:14:43","14/01/25 09:18:19","4 - Baja","Cerrado","CREACION IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF652991","13/01/25 14:16:54","14/01/25 09:27:32","4 - Baja","Cerrado","Desbloqueo cuenta usuario IRON MOUNTAIN BOR1005740948","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF653054","13/01/25 15:18:44","15/01/25 10:21:49","4 - Baja","Cerrado","Creacion cuenta usuario IRON MOUNTAIN - dmrodriguezc","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653055","13/01/25 15:20:54","15/01/25 10:22:37","4 - Baja","Cerrado","Desbloqueo cuenta usuario IRON MOUNTAIN - BOA32797262","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653099","13/01/25 16:06:56","16/01/25 14:06:25","4 - Baja","Cerrado","DESBLOQUEO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF653122","13/01/25 16:25:33","20/01/25 09:52:27","4 - Baja","Cerrado","ACCESO KONCILIA","MRODRIGUEZPE","KONCILIA","A","","",""
"RF653167","13/01/25 17:09:08","14/01/25 09:34:53","4 - Baja","Cerrado","IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653368","14/01/25 09:29:47","14/01/25 10:26:06","4 - Baja","Cerrado","DESBLOQUEO USUARIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF653434","14/01/25 10:08:26","15/01/25 11:36:50","4 - Baja","Cerrado","SOLICITUD ACCESO DOCUMENTA WEB - EQUIPO FUERA DE INVENTARIO KSTBOCC-0711","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF653617","15/01/25 07:57:30","16/01/25 09:34:02","4 - Baja","Cerrado","IRON MOUNTAIN / desbloqueo","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653622","15/01/25 08:00:46","16/01/25 09:35:31","4 - Baja","Cerrado","DESBLOQUEO DOCUMENTA WEB IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653663","15/01/25 08:29:02","20/01/25 11:12:50","4 - Baja","Cerrado","IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF653691","15/01/25 08:41:31","16/01/25 09:37:05","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION CLAVE ACUSES DE RECIBIDO OF 505","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF653704","15/01/25 08:50:49","17/01/25 09:31:21","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - Nombre de usuario","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653709","15/01/25 08:53:28","17/01/25 09:35:53","4 - Baja","Cerrado","DESBLOQUEO USUARIO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653728","15/01/25 09:02:12","20/01/25 12:38:14","4 - Baja","Cerrado","Desbloqueo Seriva Xrebellon","MRODRIGUEZPE","SERIVA","A","","",""
"RF653840","15/01/25 09:59:05","16/01/25 09:41:06","4 - Baja","Cerrado","acceso a aplicativo IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF653856","15/01/25 10:05:47","17/01/25 09:45:39","4 - Baja","Cerrado","Desbloquear Seriva","MRODRIGUEZPE","SERIVA","A","","",""
"RF653895","15/01/25 10:38:57","24/01/25 19:56:19","4 - Baja","Cerrado","HABILITACION USUARIO CLEAR XactClearstream (Colombia - Panamá - Barbados)","MRODRIGUEZPE","CLEARSTREAM","A","","",""
"RF653899","15/01/25 10:40:23","24/01/25 20:11:33","4 - Baja","Cerrado","MODIFICAR USUARIO DECEVAL","MRODRIGUEZPE","DECEVAL","A","","",""
"RF653989","15/01/25 11:42:25","15/01/25 14:05:51","4 - Baja","Cerrado","IRON MOUNTAIN / DESBLOQUEO APLICATIVO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF654100","15/01/25 14:36:41","16/01/25 09:42:58","4 - Baja","Cerrado","DESBLOQUEO USUARIO IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF654151","15/01/25 15:17:38","16/01/25 09:44:38","4 - Baja","Cerrado","IRON MOUNTAIN / DESBLOQUEO APLICATIVO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF654338","15/01/25 18:32:37","16/01/25 09:46:40","4 - Baja","Cerrado","IRON MOUNTAIN / DESBLOQUEO DE USUARIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF654425","16/01/25 08:55:41","16/01/25 15:05:29","4 - Baja","Cerrado","desbloqueo de iron","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF654442","16/01/25 09:09:30","16/01/25 15:07:47","4 - Baja","Cerrado","Desbloqueo de aplicativo Iron Mountain","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","D","","",""
"RF654594","16/01/25 11:13:51","16/01/25 15:11:15","4 - Baja","Cerrado","SOLICITUD DESBLOQUEO USUARIO DOCUMENTA WEB","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF655032","17/01/25 10:01:47","22/01/25 11:06:54","4 - Baja","Cerrado","SOLICITUD DESBLOQUEO-CAMBIO DE CLAVE IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF655046","17/01/25 10:10:46","17/01/25 11:34:22","4 - Baja","Cerrado","DESBLOQUEO POR INACTIVIDAD","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF655303","17/01/25 15:29:20","17/01/25 17:26:14","4 - Baja","Cerrado","Creacion de usuario ALFYN","MRODRIGUEZPE","ALFYN","A","","",""
"RF655306","17/01/25 15:31:34","17/01/25 17:25:49","4 - Baja","Cerrado","Creación de usuario SERIVA.","MRODRIGUEZPE","SERIVA","A","","",""
"RF655307","17/01/25 15:32:44","17/01/25 17:24:53","4 - Baja","Cerrado","Creacion de usuario SERIVA RENTA FIJA","MRODRIGUEZPE","SERIVA RENTA FIJA","A","","",""
"RF655421","17/01/25 17:05:42","23/01/25 15:27:08","4 - Baja","Cerrado","DOCIT SOLICITUD CREACION CRCC","MRODRIGUEZPE","CRCC","A","","",""
"RF655436","17/01/25 17:30:24","22/01/25 16:08:33","4 - Baja","Cerrado","SOLICITUD KONCILIAR","MRODRIGUEZPE","KONCILIA","A","","",""
"RF655442","17/01/25 17:41:00","22/01/25 16:18:06","4 - Baja","Cerrado","DOCIT SOLICITUD CAMBIO PERFIL SERIVA","MRODRIGUEZPE","SERIVA","A","","",""
"RF655443","17/01/25 17:43:09","22/01/25 16:19:33","4 - Baja","Cerrado","SOLICITUD MODIFICACION  SERIVA RENTA FIJA","MRODRIGUEZPE","SERIVA","A","","",""
"RF655470","18/01/25 18:55:49","20/01/25 11:16:28","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO BOR1007467772 EN IRON MOUNTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF655516","20/01/25 08:29:32","20/01/25 11:09:25","4 - Baja","Cerrado","Solicitud desbloqueo usuario Iron Mountain","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF655519","20/01/25 08:33:49","22/01/25 11:10:01","4 - Baja","Cerrado","DESBLOQUEO IRON MOUNTAIN Y ASIGNACION CLAVE","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF655715","20/01/25 10:47:05","20/01/25 12:36:10","4 - Baja","Cerrado","DESBLOQUEAR USUARIO BOR1026162956","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF655781","20/01/25 11:37:26","22/01/25 11:15:15","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO IRON Y ASIGNACION DE CLAVE","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF655928","20/01/25 14:54:39","24/01/25 10:19:49","4 - Baja","Cerrado","DESBLOQUEAR USUARIO DOCUMENTA WEB","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF656045","20/01/25 16:18:52","22/01/25 11:18:52","4 - Baja","Cerrado","DESBLOQUEO USUARIO IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF656076","20/01/25 16:38:25","22/01/25 11:23:28","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION CLAVE AIRON MOUNT","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF656079","20/01/25 16:38:34","23/01/25 11:52:47","4 - Baja","Cerrado","Creación de usuario SERIVA.","MRODRIGUEZPE","SERIVA","A","","",""
"RF656081","20/01/25 16:39:43","23/01/25 11:39:06","4 - Baja","Cerrado","Creacion de usuario SERIVA RENTA FIJA","MRODRIGUEZPE","SERIVA RENTA FIJA","A","","",""
"RF656084","20/01/25 16:40:58","23/01/25 14:58:44","4 - Baja","Cerrado","Creacion de usuario ALFYN.","MRODRIGUEZPE","ALFYN","A","","",""
"RF656175","21/01/25 07:20:45","22/01/25 11:28:56","4 - Baja","Cerrado","desbloquear usuario IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","C","","",""
"RF656292","21/01/25 09:33:26","22/01/25 16:20:36","4 - Baja","Cerrado","DESBLOQUEO USUARIO SERIVA RENTA FIJA","MRODRIGUEZPE","SERIVA RENTA FIJA","A","","",""
"RF656374","21/01/25 10:41:40","22/01/25 11:31:28","4 - Baja","Cerrado","DESBLOQUEAR USUARIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF656478","21/01/25 12:26:20","22/01/25 11:33:52","4 - Baja","Cerrado","DESBLOQUEO USUARIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF656675","21/01/25 16:05:10","22/01/25 16:11:19","4 - Baja","Cerrado","IRON MOUNTAIN / DESBLOQUEO DE USUARIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF656919","22/01/25 09:32:41","23/01/25 09:55:00","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - SINDY PADILLA CUADRADO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF657055","22/01/25 11:13:54","22/01/25 16:16:01","4 - Baja","Cerrado","CREACION DE USUARIO DE IRON MONTAIN","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF657057","22/01/25 11:16:05","23/01/25 17:05:39","4 - Baja","Cerrado","DOCIT - CREACION DE USUARIO","MRODRIGUEZPE","KONCILIA","A","","",""
"RF657062","22/01/25 11:20:43","24/01/25 10:21:43","4 - Baja","Cerrado","IRON MOUNTAIN / Tipo de Novedad (Creación)","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF657134","22/01/25 12:07:18","04/02/25 17:08:56","4 - Baja","Cerrado","docit/ Asignacion de usuario koncilia","MRODRIGUEZPE","KONCILIA","A","","",""
"RF657142","22/01/25 12:28:38","24/01/25 16:27:45","4 - Baja","Cerrado","IRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF657194","22/01/25 14:03:09","22/01/25 16:14:12","4 - Baja","Cerrado","DOCIT - Desbloqueo cuenta usuario IRON MOUNTAIN - BOR1086050184","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF657272","22/01/25 15:02:29","23/01/25 15:34:33","4 - Baja","Cerrado","DOCIT - DESBLOQUEO USUARIO KONCILIA","MRODRIGUEZPE","KONCILIA","A","","",""
"RF657281","22/01/25 15:05:18","24/01/25 20:39:52","4 - Baja","Cerrado","DOCIT - CREACION DE PERFIL/DECEVAL","MRODRIGUEZPE","DECEVAL","A","","",""
"RF657286","22/01/25 15:08:36","24/01/25 18:14:57","4 - Baja","Cerrado","DOCIT - CREACION DE PERFIL/CLEARSTREAM","MRODRIGUEZPE","CLEARSTREAM","A","","",""
"RF657419","22/01/25 16:49:42","24/01/25 10:29:21","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO AIRON","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","A","","",""
"RF657509","23/01/25 08:28:00","24/01/25 10:32:40","4 - Baja","Cerrado","Desbloqueo de Usuario","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF657524","23/01/25 08:46:53","29/01/25 08:05:24","4 - Baja","Cerrado","DESBLOQUEO USURIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
"RF657531","23/01/25 08:52:42","29/01/25 08:07:08","4 - Baja","Cerrado","DESBLOQUEO USURIO","MRODRIGUEZPE","IRON MOUNTAIN (Documenta Web)","B","","",""
