Número,Fecha de entrega,Fecha de cierre,Prioridad,Estado,Título,Cerrado por,Nombre de Aplicación,Categoría del sitio,Bdo Tipo de Solicitud,Tipo solici,Tipo de Solicitud
"RF762955","10/09/25 11:38:23","10/09/25 14:33:33","4 - Baja","Cerrado","desbloqueo usuario","JSDIAZ","FIRST DATA","A","","",""
"RF763031","10/09/25 13:03:14","11/09/25 14:35:11","4 - Baja","Cerrado","DESBLOQUEO Y RESTABLECIMIENTO DE USUARIO","JSDIAZ","FIRST DATA","B","","",""
"RF763231","10/09/25 16:24:55","10/09/25 16:37:09","4 - Baja","Cerrado","Desbloquear usuario First Vision","JSDIAZ","FIRST VISION","A","","",""
"RF763284","10/09/25 16:53:30","11/09/25 09:51:56","4 - Baja","Cerrado","NEXABPO-DESBLOQUEO Y ASIGNACION DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","A","","",""
"RF763287","10/09/25 16:54:34","11/09/25 09:54:00","4 - Baja","Cerrado","ASIGNACION DE CONTRASEÑA","JSDIAZ","FIRST DATA","B","","",""
"RF763294","10/09/25 16:56:10","11/09/25 09:55:18","4 - Baja","Cerrado","NEXABPO_DESBLOQUEO Y ASIGNACION DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","A","","",""
"RF763312","10/09/25 17:04:54","11/09/25 14:36:59","4 - Baja","Cerrado","DESBLOQUEO FIRS DATA","JSDIAZ","FIRST DATA","B","","",""
"RF763324","10/09/25 17:14:59","11/09/25 14:43:11","4 - Baja","Cerrado","DESBLOQUEO Y RESTABLECIMIENTO DE USUARIO","JSDIAZ","FIRST DATA","B","","",""
"RF764323","12/09/25 14:56:45","16/09/25 14:01:07","4 - Baja","Cerrado","DESBLOQUEO APLICATIVO SWIFT","JSDIAZ","SWIFT IZQUIERDO","A","","",""
"RF768366","23/09/25 10:58:43","24/09/25 14:58:07","4 - Baja","Cerrado","Creación de usuario","JSDIAZ","MAILPOINT","A","","",""
"RF769080","24/09/25 11:11:05","10/10/25 10:49:52","4 - Baja","Cerrado","Creación de usuario","JSDIAZ","FIRST DATA","A","","",""
"RF769360","24/09/25 15:49:33","10/10/25 10:55:56","4 - Baja","Cerrado","CREACION USUARIO FIRSTDATA NEXA_BPO","JSDIAZ","FIRST DATA","A","","",""
"RF769817","25/09/25 12:09:52","10/10/25 10:59:16","4 - Baja","Cerrado","CRACION FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF769908","25/09/25 14:42:01","10/10/25 11:03:19","4 - Baja","Cerrado","Firsvision","JSDIAZ","FIRST VISION","A","","",""
"RF770006","25/09/25 15:54:22","25/09/25 16:15:23","4 - Baja","Cerrado","UGR** DESBLOQUEO USUARIO FD","JSDIAZ","FIRST DATA","A","","",""
"RF770055","25/09/25 16:19:47","25/09/25 16:54:18","4 - Baja","Cerrado","SOLICITUD DESBLOQUEAR APLICACIONES **UGR**","JZAMORANO","FIRST DATA","A","","",""
"RF770875","29/09/25 08:21:14","06/10/25 11:05:35","4 - Baja","Cerrado","NEXA Bpo Desbloqueo usuario First Data","JSDIAZ","FIRST DATA","A","","",""
"RF770938","29/09/25 08:59:20","06/10/25 11:06:57","4 - Baja","Cerrado","DESBLOQUEO FIRST","JSDIAZ","FIRST DATA","B","","",""
"RF771032","29/09/25 09:54:53","06/10/25 11:08:55","4 - Baja","Cerrado","DESBLOQUEO FIRSDATA","JSDIAZ","FIRST DATA","A","","",""
"RF771191","29/09/25 12:05:19","07/10/25 11:50:40","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF771398","29/09/25 15:58:06","06/10/25 11:11:24","4 - Baja","Cerrado","Desbloqueo firstdata","JSDIAZ","FIRST DATA","A","","",""
"RF771469","29/09/25 16:55:06","20/10/25 08:34:29","4 - Baja","Cerrado","Eliminacion de Usuarios  Nexa -  Aplicativo  Firts Vision","JSDIAZ","FIRST VISION","A","","",""
"RF771502","29/09/25 17:29:55","06/10/25 11:14:21","4 - Baja","Cerrado","DESBLOQUEAR FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF771639","30/09/25 09:21:57","06/10/25 11:18:20","4 - Baja","Cerrado","NEXA BPO DESBLOQUEO ASIGNACION NUEVA CONTRASEÑA FRIST","JSDIAZ","FIRST DATA","A","","",""
