ds,yhat,yhat_lower,yhat_upper,dia_habil
2024-05-06,7.397523263384452,1.8946452988353388,13.209804425929713,1
2024-05-07,6.859819522709544,1.111836985655514,12.385651245667656,1
2024-05-08,6.5421109914597,1.0814353319248797,12.274987399360539,1
2024-05-09,6.0607484578776605,0.3072237853242447,11.638086013803363,1
2024-05-10,4.972545663937468,0.0,10.253571900054919,1
2024-05-11,0.0,0.0,5.297306586578207,0
2024-05-12,0.0,0.0,5.20389051996802,0
2024-05-13,2.107037844603985,0.0,8.00313288677293,0
2024-05-14,6.619317582545633,1.0794770592663718,11.914267711880948,1
2024-05-15,6.326641465357016,0.5910211327885779,11.711517369974464,1
2024-05-16,5.870563719313298,0.11734314253845907,11.459860365737743,1
2024-05-17,4.796421822705134,0.0,10.211199224127808,1
2024-05-18,0.0,0.0,4.726180540914819,0
2024-05-19,0.0,0.0,4.5966593387723576,0
2024-05-20,7.164175782759365,1.8456235415127855,12.89296656662794,1
2024-05-21,6.6807983445033585,1.2015082449456433,12.378523439621658,1
2024-05-22,6.434994637584937,1.140060966786724,11.763614375752743,1
2024-05-23,6.02269547987938,0.5392154817145769,11.43539771487978,1
2024-05-24,4.977508750604355,0.0,10.536784428789488,1
2024-05-25,0.0,0.0,5.216121958396111,0
2024-05-26,0.0,0.0,5.090838622615772,0
2024-05-27,7.564355933991825,2.014484908186871,13.420675644079893,1
2024-05-28,7.119321494349604,1.4822885503368164,12.999549924431179,1
2024-05-29,6.914865973967455,1.5438871645740357,12.25528747437832,1
2024-05-30,6.536590213087423,1.0892956413626218,12.18791677009337,1
2024-05-31,5.5064535564392045,0.0,11.069501601042722,1
2024-06-01,0.05539109529400644,0.0,5.177562952848841,0
2024-06-02,0.0,0.0,5.299841268892223,0
2024-06-03,2.8362169073682684,0.0,7.817188885628593,0
2024-06-04,7.812373692592955,2.30714449541021,13.290108047466795,1
2024-06-05,7.617999621999993,2.2808000486089375,13.079777338195445,1
2024-06-06,7.240112493209097,1.8737920122818947,12.92336856610685,1
2024-06-07,6.189520145920033,0.7640836045339734,11.587862776547404,1
2024-06-08,0.6095091991321078,0.0,5.844444736125356,0
2024-06-09,0.2814863769107106,0.0,5.975680773588756,0
2024-06-10,3.436005431639869,0.0,8.913336966365193,0
2024-06-11,8.510143686121632,2.9273860804517677,14.195896997189417,1
2024-06-12,8.289708012083375,2.8510425431673845,13.919672638793203,1
2024-06-13,7.877799703136263,2.867470143213724,13.226919752545856,1
2024-06-14,6.77468129520276,1.1079048648654861,12.194230249164978,1
2024-06-15,1.0365662164395684,0.0,6.621772843355572,0
2024-06-16,0.6687276709960287,0.0,6.380086247947966,0
2024-06-17,9.523223315590771,4.22049495360354,14.865063221085176,1
2024-06-18,9.015897767124368,3.842376114625556,14.385079925541651,1
2024-06-19,8.756600737983407,3.2528878013063247,14.27263162615919,1
2024-06-20,8.302770267315552,3.1141700134797667,13.496941805592355,1
2024-06-21,7.144267638517617,1.916446190953323,12.39077572089024,1
2024-06-22,1.2502744270113797,0.0,7.018544820870016,0
2024-06-23,0.8498646822140378,0.0,6.59475614910397,0
2024-06-24,9.879781209831455,4.253032359986482,15.527559350212057,1
2024-06-25,9.344284804415336,3.771768309525643,14.678318233734156,1
2024-06-26,9.066946321448954,3.708815931556549,14.727935315548955,1
2024-06-27,8.595694410782105,3.2343672879732055,13.846774043271875,1
2024-06-28,7.409405664163862,2.0838474496332346,13.096172334128887,1
2024-06-29,1.3895631407884455,0.0,7.132466669837461,0
2024-06-30,0.9883039610519692,0.0,6.596811120159087,0
2024-07-01,4.313587901752405,0.0,9.261633619878634,0
2024-07-02,9.695276822018098,4.490495472951104,14.93564827009252,1
2024-07-03,9.431782849802934,4.310421970695282,14.91179871094487,1
2024-07-04,8.973334048115717,3.5572380338276743,14.315849262153518,1
2024-07-05,7.786971400140646,2.3379744789520336,13.199872276375162,1
2024-07-06,1.665661634598179,0.0,6.786166434697834,0
2024-07-07,1.283839361103548,0.0,6.791033322814224,0
2024-07-08,10.745333595175628,5.079827415750798,16.32839402127045,1
2024-07-09,10.228959941112775,4.756862896723998,15.5207876766751,1
2024-07-10,9.983510744120045,4.144749916848882,15.410953477617303,1
2024-07-11,9.535783077679087,4.068377567750384,15.041929202228058,1
2024-07-12,8.3407293987416,2.7266040146064223,13.645156937933772,1
2024-07-13,2.1026870733056326,0.0,7.470492166376863,0
2024-07-14,1.7184215999244108,0.0,7.270932067685702,0
2024-07-15,11.37514107341115,5.707829462850176,17.068265715116056,1
2024-07-16,10.838968898532181,5.113477313257126,16.564452038817386,1
2024-07-17,10.571538017221298,5.120898523833815,16.134627236888225,1
2024-07-18,10.08950990816117,4.770016630163738,15.773596727127705,1
2024-07-19,8.83650200087678,3.4343398088706127,13.846649145943164,1
2024-07-20,2.4290948796698886,0.0,7.608325868267507,0
2024-07-21,1.9873612238044756,0.0,7.791931011718224,0
2024-07-22,11.782950257089723,6.01152829038598,17.548786659891775,1
2024-07-23,11.170420829087881,5.048136233815183,16.63316812918889,1
2024-07-24,10.825417657913423,5.313431806428919,16.94664810886031,1
2024-07-25,10.255657931637893,4.820196341350694,15.789473245514033,1
2024-07-26,8.894611124085888,2.8598762656328103,14.861959942426287,1
2024-07-27,2.272259113194281,0.0,7.662144907085611,0
2024-07-28,1.7330861195735652,0.0,7.221632740221828,0
2024-07-29,11.634209145958563,6.084974186499763,17.243559035322967,1
2024-07-30,10.919548548340458,5.19788091180747,16.187047767385916,1
2024-07-31,10.479564919834209,4.788282614247538,15.859905294713093,1
2024-08-01,9.813694218592051,4.388573963105054,15.13441170521357,1
2024-08-02,8.345763340829114,2.785665206231507,13.710280523853143,1
2024-08-03,1.519489449343549,0.0,6.608013950868451,0
2024-08-04,0.9039204441689404,0.0,6.386332489119803,0
2024-08-05,10.941604428955616,5.650952137982,16.364731736221845,1
2024-08-06,10.165594475999079,4.6483794875249,14.913490046150548,1
2024-08-07,3.105545331412558,0.0,8.882094300375432,0
2024-08-08,8.977608047391108,2.925677123210505,14.128608309517885,1
2024-08-09,7.469576141715817,1.8637633097070623,12.830376981241653,1
2024-08-10,0.5131492039599225,0.0,6.049250087888292,0
2024-08-11,0.0,0.0,5.353264955362762,0
2024-08-12,10.159365229740741,4.325231325521969,15.292008632195525,1
2024-08-13,9.40958080260316,3.849112243169521,14.813516466309492,1
2024-08-14,8.969289784455196,3.685509149366512,14.569292143407582,1
2024-08-15,8.318650651490698,3.189925405981789,14.018961019427001,1
2024-08-16,6.859086698112023,1.3241359254767744,12.47891552237453,1
2024-08-17,0.0,0.0,5.377226546685151,0
2024-08-18,0.0,0.0,4.805568480942007,0
2024-08-19,3.0959403967045147,0.0,8.601779095790354,0
2024-08-20,9.231151425240627,3.136368840836911,14.933964588900158,1
2024-08-21,8.895668284097663,3.6042734788300836,15.147951538322488,1
2024-08-22,8.348183779476784,2.983470686190542,14.11932074244795,1
2024-08-23,6.977150053078671,1.128607276593688,12.739689073334263,1
2024-08-24,0.0,0.0,5.470963598810527,0
2024-08-25,0.0,0.0,5.15413716012705,0
2024-08-26,10.390570999952226,4.828327956365507,16.38302831773981,1
2024-08-27,9.821969432441062,4.428158598653266,15.519121940235006,1
2024-08-28,9.569964254356362,3.8602181756041336,14.738310572770791,1
2024-08-29,9.091833284398152,3.639750682469926,14.418761315152064,1
2024-08-30,7.763506296471932,2.5198492031416926,13.42831877614832,1
2024-08-31,0.6741544372055437,0.0,6.69221528669319,0
2024-09-01,0.2817792870252981,0.0,5.749428283064521,0
2024-09-02,11.3615279631678,5.6010229054687795,16.821418606849726,1
2024-09-03,10.79400044391677,5.345982765693431,15.918408202725105,1
2024-09-04,10.533516723237959,4.868731596553116,15.838572509482088,1
2024-09-05,10.027565675322174,4.334116752839898,15.659013773852681,1
2024-09-06,8.641193855873391,2.968365959102116,14.149179165201865,1
2024-09-07,1.376346280396653,0.0,6.761352454299468,0
2024-09-08,0.9149989093822447,0.0,6.4732971846658325,0
2024-09-09,12.11800759505568,6.609192703615848,17.710877345509363,1
2024-09-10,11.454443510636374,5.614470044733705,17.302270526205707,1
2024-09-11,11.093490089750807,5.980386792952373,16.435983911652617,1
2024-09-12,10.474413690371632,5.224097770053544,16.059597667873653,1
2024-09-13,8.952711248523133,3.354745371648983,14.030876865070159,1
2024-09-14,1.4429589273762597,0.0,6.91066548957727,0
2024-09-15,0.8556388431981525,0.0,6.236699347590626,0
2024-09-16,12.139951331108483,6.629450548461912,17.331000877111613,1
2024-09-17,11.347291780023566,5.637647749413494,17.049762032161603,1
2024-09-18,10.866209850345003,5.113971224738052,16.310994761429466,1
2024-09-19,10.127974860579984,4.174294217160236,15.396543031645066,1
2024-09-20,8.478608080053656,2.6863602780387894,14.344831864248775,1
2024-09-21,0.7450534972036091,0.0,5.93454694318297,0
2024-09-22,0.06671461946386165,0.0,5.466786480488816,0
2024-09-23,11.479868149756399,5.907243256545277,16.551034710502066,1
2024-09-24,10.61727918265574,5.304833062601832,16.466921128116653,1
2024-09-25,10.085750069341735,5.011686637283725,15.23171578695155,1
2024-09-26,9.307234945465177,3.6869732160655966,14.972341701268629,1
2024-09-27,7.616779325374453,1.9939933928390212,12.827642715667466,1
2024-09-28,0.0,0.0,4.746692919804051,0
2024-09-29,0.0,0.0,4.705543404110605,0
2024-09-30,10.720815304855444,5.389531005639085,16.393273979923755,1
2024-10-01,9.888011175520552,4.36352843341895,15.534856692935767,1
2024-10-02,9.404246204933397,3.8034916585852567,15.127454883283162,1
2024-10-03,8.68021992283324,3.253584376270438,13.89365086260307,1
2024-10-04,7.038143350280915,1.2927323573794245,12.170353519090325,1
2024-10-05,0.0,0.0,4.589300368753114,0
2024-10-06,0.0,0.0,4.01924867441914,0
2024-10-07,10.464163941680448,4.889564505459225,15.777226546551608,1
2024-10-08,9.712793716170763,4.060565866993054,15.432392110186585,1
2024-10-09,9.31574908633582,3.6609686839070896,14.943721448925542,1
2024-10-10,8.671623329196784,3.242965552312157,14.296836713489906,1
2024-10-11,7.08914432992294,1.8394263938069988,12.505038333109109,1
2024-10-12,0.0,0.0,4.489964725057811,0
2024-10-13,0.0,0.0,4.7710699921578,0
2024-10-14,2.9796653174506194,0.0,8.801557759337348,0
2024-10-15,10.06998461155275,4.474237152720584,15.918888635871642,1
2024-10-16,9.702054951129366,4.4929541806678035,15.28543768649677,1
2024-10-17,9.068853505178168,3.4740639189153404,14.690132851646398,1
2024-10-18,7.467101365171185,2.0008389972940073,13.219697791607338,1
2024-10-19,0.0,0.0,5.160620349710563,0
2024-10-20,0.0,0.0,4.144782593751524,0
2024-10-21,11.154349292516281,5.664593686396535,16.8693524991461,1
2024-10-22,10.37583224536313,5.159797071241512,15.673963089736594,1
2024-10-23,9.937283849516387,3.9700801326081554,15.187542209085422,1
2024-10-24,9.217769094973866,4.028228983943857,15.056600490111274,1
2024-10-25,7.504326485101068,2.0952580127964557,13.270041166389923,1
2024-10-26,0.0,0.0,4.781146323739145,0
2024-10-27,0.0,0.0,3.8649605350669294,0
2024-10-28,10.956840981300013,5.025049834379183,16.3331559696551,1
2024-10-29,10.06315490733304,4.788437298555134,15.812942052595302,1
2024-10-30,9.517060710762715,3.7757216564148357,15.181864471285552,1
2024-10-31,8.690341178132968,3.152182730768497,14.374841438526419,1
2024-11-01,6.861360218882645,1.637830772739794,12.901180957693866,1
2024-11-02,0.0,0.0,3.8272054504666024,0
2024-11-03,0.0,0.0,3.228463854942558,0
2024-11-04,1.9857123318607364,0.0,7.119399575965317,0
2024-11-05,9.233190004705714,4.349078287981594,14.800549368569238,1
2024-11-06,8.663525020276303,3.6586032035181297,14.581191028810066,1
2024-11-07,7.829007138992675,2.3922648852626947,13.661806783986332,1
2024-11-08,5.997744529117079,0.6166062792522917,11.187660727997871,1
2024-11-09,0.0,0.0,2.7767927974189743,0
2024-11-10,0.0,0.0,1.9857103578061406,0
2024-11-11,1.2572331754190644,0.0,6.724103992765658,0
2024-11-12,8.731371042599045,2.8268666579059634,14.00448635861462,1
2024-11-13,8.286353949252318,2.3916354066388537,13.898007017076303,1
2024-11-14,7.590868172133031,2.1294852357649776,12.764846716591313,1
2024-11-15,5.899709712766369,0.7016005957779055,10.995986588855557,1
2024-11-16,0.0,0.0,2.9959885115364,0
2024-11-17,0.0,0.0,2.5202017542745927,0
2024-11-18,10.109548963306663,4.538146206101759,15.442310203338327,1
2024-11-19,9.46066955787462,4.009976246742321,14.836253272552499,1
2024-11-20,9.217065970622523,3.5822484613755656,14.87327384471194,1
2024-11-21,8.71693073274604,3.164605463440151,13.855394553052033,1
2024-11-22,7.200024838435327,1.2901192340424337,12.968705473359392,1
2024-11-23,0.0,0.0,4.2871982920607525,0
2024-11-24,0.0,0.0,3.7249020117975755,0
2024-11-25,12.00177721287266,6.888197193373546,17.97871342523483,1
2024-11-26,11.4836042382856,5.989440500049717,16.76705542519083,1
2024-11-27,11.354100334488932,5.728173003386803,16.950971910333664,1
2024-11-28,10.938935368762182,5.252753623290716,16.31186994574383,1
2024-11-29,9.464379533196576,4.133816920437927,14.787265735175614,1
2024-11-30,0.8561375135232466,0.0,6.24042883331953,0
2024-12-01,0.5237183050266876,0.0,6.219425811707552,0
2024-12-02,14.355315617814313,8.84992411539356,19.612538830660892,1
2024-12-03,13.773921482565921,8.411209240939774,19.235968294284014,1
2024-12-04,13.556875075628987,8.227382248928127,19.216010022047847,1
2024-12-05,13.020952569522041,7.742433782034486,18.755437533276464,1
2024-12-06,11.382700907694055,5.645991233250326,16.717201965352864,1
2024-12-07,2.480480888881119,0.0,8.096127386924337,0
2024-12-08,1.954181416685357,0.0,7.048225048733935,0
2024-12-09,15.780945562546512,10.330995487292293,21.31019186212403,1
2024-12-10,14.966806342008056,9.085462993401459,20.755733698914586,1
2024-12-11,14.510627802424949,8.917822479663105,19.851632740489347,1
2024-12-12,13.723295679039191,8.354752666100895,19.2359838794699,1
2024-12-13,11.814259187913061,6.23107458546025,17.14891932623795,1
2024-12-14,2.536725574127843,0.0,8.371727467386163,0
2024-12-15,1.7626698696745062,0.0,7.364944623347824,0
2024-12-16,15.559367369199865,10.015184799178506,20.814163267872033,1
2024-12-17,14.516522968045214,9.198279203567111,19.859600491696277,1
2024-12-18,13.854587270103787,8.307513973775595,19.304536699658907,1
2024-12-19,12.878042655301252,7.4586521469251705,18.641402257786748,1
2024-12-20,10.788159803491816,5.556238506884221,16.572886448817552,1
2024-12-21,1.2513624365864717,0.0,7.077104389939368,0
2024-12-22,0.3695630373467237,0.0,5.7047306670108995,0
2024-12-23,14.297543415193845,8.465529506279868,19.627795913688505,1
2024-12-24,13.205629700240669,7.805614367497484,18.681680767355395,1
2024-12-25,3.411600259854343,0.0,8.956147878104664,0
2024-12-26,11.572358315413892,5.878131979637342,17.040332086525044,1
2024-12-27,9.51453558455866,3.7648093604886483,14.864550966474386,1
2024-12-28,0.0,0.0,5.8439835917599074,0
2024-12-29,0.0,0.0,4.5404444837571525,0
2024-12-30,13.429492702787098,7.759220164679332,19.088956198393777,1
2024-12-31,12.489595272532043,6.518390714431184,18.58043904859898,1
2025-01-01,2.744723702809692,0.0,8.256232628121577,0
2025-01-02,11.221870765311774,5.09445313428665,16.35149313457337,1
2025-01-03,9.348719279639424,3.9498699462817926,14.779490170022392,1
2025-01-04,0.0,0.0,5.586532923321878,0
2025-01-05,0.0,0.0,4.9971012053352375,0
2025-01-06,4.645537015913047,0.0,9.808346981590017,0
2025-01-07,13.250281863683336,7.87230517802334,18.410111739654155,1
2025-01-08,12.955754585855606,7.562700652666991,18.509076084690296,1
2025-01-09,12.36916735985006,7.374610879253499,18.2860380515986,1
2025-01-10,10.649717158480367,5.34031097569159,15.936872244209265,1
2025-01-11,1.1869172422775736,0.0,6.608897700515251,0
2025-01-12,0.7572461682137991,0.0,6.352657168818543,0
2025-01-13,15.764379679245428,10.32269863381267,21.600226326831542,1
2025-01-14,15.108777615365968,9.360536038151968,20.65135489757388,1
2025-01-15,14.87397409194843,9.352093374998548,19.937795247921322,1
2025-01-16,14.316710320977492,9.031247685681743,20.175248893070066,1
2025-01-17,12.58498955660121,6.942378410822821,17.94138446671166,1
2025-01-18,2.979530891401962,0.0,8.440535057955143,0
2025-01-19,2.505765277786983,0.0,8.175469557851521,0
2025-01-20,17.65493064742509,12.247848490687614,23.171841827558385,1
2025-01-21,16.909201187047486,11.25465908364788,22.65756102420049,1
2025-01-22,16.57235012179266,11.37805988069995,22.41734867147424,1
2025-01-23,15.894011366801571,10.203669924926903,21.12051104883894,1
2025-01-24,14.01394411414289,8.437703289750376,19.680140346062778,1
2025-01-25,4.146646441640385,0.0,10.052066451832427,0
2025-01-26,3.5286436081839154,0.0,8.947538676817366,0
2025-01-27,18.74040629625381,13.261118220912167,24.174156774416673,1
2025-01-28,17.84698763163241,12.340900550578612,23.68752057285,1
2025-01-29,17.373039114124584,11.990409699441178,23.17377850043682,1
2025-01-30,16.561193217369116,11.207568134707719,21.750239788911497,1
2025-01-31,14.542542000051373,9.184949773403451,20.010172926493755,1
2025-02-01,4.44442703843644,0.0,9.771092548050685,0
2025-02-02,3.733048160802144,0.0,9.09473704096124,0
2025-02-03,19.07624388956051,13.86644617225311,24.41397716932825,1
2025-02-04,18.11968519916922,12.731240934987426,23.74052261950582,1
2025-02-05,17.60630228722563,12.121015652676343,23.393164876587843,1
2025-02-06,16.768853099680424,11.238809049783187,22.487837608367048,1
2025-02-07,14.681076222691248,9.100123143163536,19.999270212087147,1
2025-02-08,4.4888572880313085,0.0,9.794681444359275,0
2025-02-09,3.7962925015279745,0.0,9.454489981001194,0
2025-02-10,19.18429695823929,13.776918078399092,24.307560958051138,1
2025-02-11,18.230839649179636,13.036511126122566,23.483305809007273,1
2025-02-12,17.732962229834058,12.187332114763391,23.646130428059138,1
2025-02-13,16.92336407064404,11.211996368823554,22.71766913290525,1
2025-02-14,14.932030968958257,9.751736556095668,20.668941517692552,1
2025-02-15,4.908296026518709,0.0,10.505071663952556,0
2025-02-16,4.2979777213079355,0.0,9.974744497678232,0
2025-02-17,19.62060036824342,13.549211310000768,24.928271213613517,1
2025-02-18,18.738359742101654,13.30321045737204,23.691705335907315,1
2025-02-19,18.297284053719437,12.475968825893943,23.9926687492323,1
2025-02-20,17.53467370481891,12.187487172150657,22.929372961476655,1
2025-02-21,15.586373857283455,10.508719938884445,20.997734309909504,1
2025-02-22,5.661258966872726,0.18597109373182735,11.289652267237273,0
2025-02-23,5.0486161592584455,0.0,10.235793537365224,0
2025-02-24,20.20866194114554,14.60400595736184,25.4653795644798,1
2025-02-25,19.290185040544387,13.725457468068429,24.569423456411197,1
2025-02-26,18.790790541453795,13.395931062623887,24.30735214615189,1
2025-02-27,17.95513112573954,12.401620832361761,23.450716822507307,1
2025-02-28,15.927757665934374,10.102872553590116,21.456664480756476,1
